version	accession	release_classification	built_classification	unresolved_reason	virus_type	country	collection_date
AB054080.1	AB054080	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB054081.1	AB054081	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB054082.1	AB054082	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB054189.1	AB054189	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB054190.1	AB054190	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB054191.1	AB054191	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB054192.1	AB054192	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB054193.1	AB054193	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB054194.1	AB054194	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB054195.1	AB054195	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB054196.1	AB054196	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB054197.1	AB054197	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1994
AB054198.1	AB054198	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cambodia	1992
AB054199.1	AB054199	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cambodia	1993
AB054200.1	AB054200	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cambodia	1993
AB054201.1	AB054201	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cambodia	1994
AB054204.1	AB054204	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cambodia	1994
AB054205.1	AB054205	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cambodia	1994
AB054206.1	AB054206	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cambodia	1994
AB054207.1	AB054207	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cambodia	1994
AB054208.1	AB054208	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cambodia	1994
AB054209.1	AB054209	wild		too_little_vp1_compared_to_measure_divergence	PV1	Philippines	1992
AB054210.1	AB054210	wild		too_little_vp1_compared_to_measure_divergence	PV1	Philippines	1992
AB054211.1	AB054211	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1995
AB054212.1	AB054212	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cambodia	1995
AB060337.1	AB060337	wild	VDPV		PV1	Viet Nam	1991
AB111500.1	AB111500	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	1994
AB111501.1	AB111501	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	1994
AB111503.1	AB111503	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	2022
AB111504.1	AB111504	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	2023
AB111505.1	AB111505	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	2024
AB111506.1	AB111506	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	
AB111507.1	AB111507	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	
AB111508.1	AB111508	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	
AB111509.1	AB111509	wild		too_little_vp1_compared_to_measure_divergence	PV3	Turkey	
AB111510.1	AB111510	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	
AB111511.1	AB111511	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	
AB111512.1	AB111512	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	1952
AB111513.1	AB111513	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	1953
AB111514.1	AB111514	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	1973
AB111515.1	AB111515	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	1976
AB111811.1	AB111811	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	1994
AB111812.1	AB111812	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	2021
AB111813.1	AB111813	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	2022
AB111814.1	AB111814	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	2023
AB111815.1	AB111815	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	2024
AB111816.1	AB111816	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	1994
AB111817.1	AB111817	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	
AB111818.1	AB111818	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	
AB111819.1	AB111819	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	
AB111820.1	AB111820	wild		too_little_vp1_compared_to_measure_divergence	PV3	Turkey	
AB111821.1	AB111821	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	
AB111822.1	AB111822	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	
AB111823.1	AB111823	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	1952
AB111824.1	AB111824	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	1953
AB111825.1	AB111825	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	1973
AB111826.1	AB111826	wild		too_little_vp1_compared_to_measure_divergence	PV1	Turkey	1976
AF236796.1	AF236796	wild	VDPV		PV1		
AF236797.1	AF236797	wild	VDPV		PV1		
AF380622.1	AF380622	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AF380623.1	AF380623	wild		too_little_vp1_compared_to_measure_divergence	PV2		
AF380624.1	AF380624	wild		too_little_vp1_compared_to_measure_divergence	PV3		
AF518076.1	AF518076	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AF518077.1	AF518077	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AF518078.1	AF518078	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AF518079.1	AF518079	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AF518080.1	AF518080	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AF518081.1	AF518081	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AF518082.1	AF518082	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AF518083.1	AF518083	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1992
AF518084.1	AF518084	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1992
AF518085.1	AF518085	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AF518086.1	AF518086	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AF518087.1	AF518087	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AF518088.1	AF518088	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AF518089.1	AF518089	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AF518090.1	AF518090	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AF518091.1	AF518091	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AF518092.1	AF518092	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AF518093.1	AF518093	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AF518094.1	AF518094	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1992
AF518095.1	AF518095	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1992
AF518096.1	AF518096	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AF518097.1	AF518097	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AF538840.1	AF538840	iVDPV	VDPV		PV1		
AF538841.1	AF538841	iVDPV	VDPV		PV1		
AF538842.1	AF538842	iVDPV	VDPV		PV1		
AF538843.1	AF538843	iVDPV	VDPV		PV1		
AJ007959.1	AJ007959	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AJ007960.1	AJ007960	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AJ007961.1	AJ007961	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AJ007962.1	AJ007962	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AJ007963.1	AJ007963	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AJ007964.1	AJ007964	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AJ007965.1	AJ007965	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AJ248475.1	AJ248475	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1986
AJ248476.1	AJ248476	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1986
AJ248477.1	AJ248477	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1986
AJ248478.1	AJ248478	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1986
AJ248479.1	AJ248479	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1987
AJ248480.1	AJ248480	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1987
AJ248481.1	AJ248481	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1987
AJ248482.1	AJ248482	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1987
AJ248483.1	AJ248483	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1988
AJ248484.1	AJ248484	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1990
AJ248485.1	AJ248485	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1990
AJ248486.1	AJ248486	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1990
AJ248487.1	AJ248487	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1992
AJ248488.1	AJ248488	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1992
AJ248489.1	AJ248489	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1992
AJ248490.1	AJ248490	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1993
AJ248491.1	AJ248491	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1989
AJ248492.1	AJ248492	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1989
AJ248493.1	AJ248493	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1987
AJ248494.1	AJ248494	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ248495.1	AJ248495	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1985
AJ248496.1	AJ248496	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1987
AJ248497.1	AJ248497	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1987
AJ248498.1	AJ248498	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1987
AJ248499.1	AJ248499	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1987
AJ248500.1	AJ248500	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1987
AJ248501.1	AJ248501	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ248502.1	AJ248502	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1987
AJ248503.1	AJ248503	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1987
AJ248504.1	AJ248504	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1991
AJ248505.1	AJ248505	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1991
AJ248506.1	AJ248506	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ248507.1	AJ248507	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ248508.1	AJ248508	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ248509.1	AJ248509	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ248510.1	AJ248510	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1989
AJ248511.1	AJ248511	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1991
AJ248512.1	AJ248512	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ248513.1	AJ248513	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1986
AJ248514.1	AJ248514	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1991
AJ248515.1	AJ248515	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1991
AJ248516.1	AJ248516	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1991
AJ248517.1	AJ248517	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ248518.1	AJ248518	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ248519.1	AJ248519	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1985
AJ248520.1	AJ248520	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1991
AJ248521.1	AJ248521	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ248522.1	AJ248522	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1985
AJ248523.1	AJ248523	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ248524.1	AJ248524	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1986
AJ248526.1	AJ248526	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1988
AJ248527.1	AJ248527	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1992
AJ248528.1	AJ248528	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1990
AJ248529.1	AJ248529	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1987
AJ248530.1	AJ248530	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1988
AJ248531.1	AJ248531	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1987
AJ248532.1	AJ248532	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1987
AJ248533.1	AJ248533	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1987
AJ248534.1	AJ248534	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1992
AJ248535.1	AJ248535	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1992
AJ248536.1	AJ248536	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1988
AJ248537.1	AJ248537	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1986
AJ248539.1	AJ248539	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1989
AJ248540.1	AJ248540	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1989
AJ248541.1	AJ248541	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1985
AJ248542.1	AJ248542	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1987
AJ248543.1	AJ248543	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1992
AJ248545.1	AJ248545	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1987
AJ248989.1	AJ248989	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1987
AJ248990.1	AJ248990	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ248991.1	AJ248991	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ248992.1	AJ248992	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1987
AJ248993.1	AJ248993	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1987
AJ248994.1	AJ248994	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1991
AJ248995.1	AJ248995	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1991
AJ248996.1	AJ248996	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ248997.1	AJ248997	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1985
AJ248998.1	AJ248998	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1986
AJ248999.1	AJ248999	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1991
AJ249000.1	AJ249000	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1991
AJ249001.1	AJ249001	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1991
AJ249002.1	AJ249002	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ249003.1	AJ249003	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ249004.1	AJ249004	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1985
AJ249005.1	AJ249005	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1991
AJ249006.1	AJ249006	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ249007.1	AJ249007	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ249008.1	AJ249008	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ249009.1	AJ249009	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ249010.1	AJ249010	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1987
AJ249011.1	AJ249011	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1987
AJ249012.1	AJ249012	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1987
AJ249013.1	AJ249013	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1987
AJ249014.1	AJ249014	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1985
AJ249015.1	AJ249015	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1987
AJ249016.1	AJ249016	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ249017.1	AJ249017	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1992
AJ249018.1	AJ249018	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1991
AJ249019.1	AJ249019	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1986
AJ249020.1	AJ249020	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1986
AJ249021.1	AJ249021	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1986
AJ249022.1	AJ249022	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1986
AJ249023.1	AJ249023	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1987
AJ249024.1	AJ249024	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1987
AJ249025.1	AJ249025	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1997
AJ249026.1	AJ249026	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1987
AJ249027.1	AJ249027	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1988
AJ249028.1	AJ249028	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1990
AJ249029.1	AJ249029	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1990
AJ249030.1	AJ249030	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1990
AJ249031.1	AJ249031	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1992
AJ249032.1	AJ249032	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1992
AJ249033.1	AJ249033	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1992
AJ249034.1	AJ249034	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1993
AJ249035.1	AJ249035	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1989
AJ249036.1	AJ249036	wild		too_little_vp1_compared_to_measure_divergence	PV2	India	1989
AJ249049.1	AJ249049	wild		too_little_vp1_compared_to_measure_divergence	PV1	Burkina Faso	1993
AJ249050.1	AJ249050	wild		too_little_vp1_compared_to_measure_divergence	PV1	Burkina Faso	1995
AJ249051.1	AJ249051	wild		too_little_vp1_compared_to_measure_divergence	PV1	Burkina Faso	1995
AJ249052.1	AJ249052	wild		too_little_vp1_compared_to_measure_divergence	PV1	Burkina Faso	1997
AJ249053.1	AJ249053	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cote d'Ivoire	
AJ249054.1	AJ249054	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cote d'Ivoire	
AJ249055.1	AJ249055	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cote d'Ivoire	
AJ249056.1	AJ249056	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cote d'Ivoire	
AJ249057.1	AJ249057	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cote d'Ivoire	
AJ249058.1	AJ249058	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cote d'Ivoire	
AJ249059.1	AJ249059	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cote d'Ivoire	
AJ249060.1	AJ249060	wild		too_little_vp1_compared_to_measure_divergence	PV1	Liberia	
AJ249061.1	AJ249061	wild		too_little_vp1_compared_to_measure_divergence	PV1	Liberia	
AJ249062.1	AJ249062	wild		too_little_vp1_compared_to_measure_divergence	PV1	Niger	1997
AJ249063.1	AJ249063	wild		too_little_vp1_compared_to_measure_divergence	PV1	Niger	1997
AJ249064.1	AJ249064	wild		too_little_vp1_compared_to_measure_divergence	PV1	Niger	1997
AJ249065.1	AJ249065	wild		too_little_vp1_compared_to_measure_divergence	PV1	Niger	1997
AJ249067.1	AJ249067	wild		too_little_vp1_compared_to_measure_divergence	PV1	Senegal	
AJ249068.1	AJ249068	wild		too_little_vp1_compared_to_measure_divergence	PV1	Senegal	
AJ249069.1	AJ249069	wild		too_little_vp1_compared_to_measure_divergence	PV1	Benin	1997
AJ249071.1	AJ249071	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cameroon	1993
AJ249072.1	AJ249072	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cameroon	1993
AJ249073.1	AJ249073	wild		too_little_vp1_compared_to_measure_divergence	PV1	Cameroon	1993
AM774339.1	AM774339	wild		too_little_vp1_compared_to_measure_divergence	PV3	Madagascar	1995
AM774340.1	AM774340	wild		too_little_vp1_compared_to_measure_divergence	PV1	Madagascar	1996
AM774341.1	AM774341	wild		too_little_vp1_compared_to_measure_divergence	PV1	Madagascar	1996
AM774342.1	AM774342	wild		too_little_vp1_compared_to_measure_divergence	PV3	Madagascar	1997
AM774343.1	AM774343	wild		too_little_vp1_compared_to_measure_divergence	PV3	Madagascar	1995
AM774347.1	AM774347	wild		too_little_vp1_compared_to_measure_divergence	PV3	Madagascar	1995
AM774348.1	AM774348	wild		too_little_vp1_compared_to_measure_divergence	PV1	Madagascar	1996
AM774350.1	AM774350	wild		too_little_vp1_compared_to_measure_divergence	PV3	Madagascar	1997
AM774351.1	AM774351	wild		too_little_vp1_compared_to_measure_divergence	PV3	Madagascar	1995
AM774352.1	AM774352	wild		too_little_vp1_compared_to_measure_divergence	PV1	Madagascar	1996
AM774353.1	AM774353	wild		too_little_vp1_compared_to_measure_divergence	PV1	Madagascar	1996
AM774354.1	AM774354	wild		too_little_vp1_compared_to_measure_divergence	PV3	Madagascar	1997
AY015656.1	AY015656	wild		too_little_vp1_compared_to_measure_divergence	PV2		
AY017229.1	AY017229	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AY017230.1	AY017230	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AY017231.1	AY017231	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AY017232.1	AY017232	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1992
AY017233.1	AY017233	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1992
AY017234.1	AY017234	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1992
AY017235.1	AY017235	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1992
AY017236.1	AY017236	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1992
AY017237.1	AY017237	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AY017238.1	AY017238	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AY017239.1	AY017239	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AY017240.1	AY017240	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AY017241.1	AY017241	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AY017242.1	AY017242	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AY017243.1	AY017243	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AY017244.1	AY017244	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AY017245.1	AY017245	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AY017246.1	AY017246	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AY017247.1	AY017247	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
